symbol,tier,listing_days,r2_btc,beta_btc,realized_vol_annual,kurt_trimmed
BLURUSDT,trend,1093,0.29944359430833356,1.2756809153756867,1.0899562416562147,5.060286127585995
BNBUSDT,trend,1093,0.4309757986484735,0.7349895391164686,0.5234548574898085,5.295663047285289
BNTUSDT,trend,1007,0.39409483200237483,1.1427185402357751,0.8661363606409608,5.443236122138337
BOMEUSDT,trend,786,0.3720308725469603,1.6811139709617229,1.301274609845856,4.395629014209706
BRETTUSDT,follower,699,0.5061884243906954,2.1840831506040916,1.425391983706226,4.364044215761221
BREVUSDT,junk,128,0.17468588533420226,0.9112896284546005,1.1526261429573992,6.15994226258329
BROCCOLIUSDT,trend,454,0.13067995473784938,1.7614990800511094,2.194910365828907,9.753593701331537
BRUSDT,whale,420,0.012277699172294097,0.5828337090454254,2.2528339652091036,16.941235869226865
BSBUSDT,junk,50,0.01103652776716558,-1.003757981517372,3.32982470882898,4.375886664583948
BSVUSDT,trend,1093,0.3560386012523337,1.2366506933924712,0.9689983111798387,7.816235101291392
BTCUSDT,benchmark,1093,1.0,1.0,0.4675461852394139,5.131790686867405
BUSDT,junk,357,0.05848210694818054,1.2834897945125787,2.244402169237838,10.551678631662105
BZUSDT,junk,43,0.30101654918766985,-1.3013407961964656,0.7920626358391494,4.274100086502128
C98USDT,trend,1093,0.2370633565026884,1.082795568648536,1.0397735679862583,4.505536851119642
CAKEUSDT,trend,778,0.3314132270919493,1.2232297158014402,0.9924983800832099,6.387251894586533
CARVUSDT,trend,579,0.15170443016265417,1.0650675126842817,1.2480784705562402,4.9599571558107325
CATIUSDT,trend,601,0.14584235298441317,1.0005239976861655,1.1865242854823759,7.128396999303731
CBRSUSDT,junk,2,,,,
CCUSDT,junk,20,,,,
CELOUSDT,trend,1093,0.35038217854076276,1.2197931261750259,0.9634733252739571,3.832142343275312
CELRUSDT,trend,1093,0.43019241471921615,1.3088645547809898,0.9330133339658032,3.8630056912642097
CETUSUSDT,trend,554,0.29687595710866993,1.5844685956164946,1.320899304754911,4.958122694124478
CFGUSDT,junk,59,0.10719505133691859,1.151972647433029,1.2870941484854086,2.8725089155767582
CFXUSDT,trend,1093,0.2826391149177788,1.414380560641853,1.243869057396179,5.156583494140561
CGPTUSDT,trend,509,0.28447173527044284,1.5613826531125161,1.3046464620492741,4.3041297059059245
CHILLGUYUSDT,trend,538,0.2283216621322055,1.9613012936810215,1.8312394607823503,5.893900893442508
CHIPUSDT,junk,23,,,,
CHRUSDT,trend,1093,0.349083109498563,1.2820443855320884,1.014525952310801,4.3078272264720665
CHZUSDT,trend,1093,0.3579437532105236,1.1285076268089915,0.8819046299469834,4.368340674077684
CKBUSDT,trend,1093,0.300844022268149,1.3684757221519006,1.1665165955618995,9.998519014818363
CLANKERUSDT,junk,199,0.18019267033840772,1.3193774498623514,1.5062869317843581,8.066410471202126
CLOUSDT,junk,211,0.004851115663809705,0.32931914271848767,2.2530314818313615,3.969613781548362
CLUSDT,junk,59,0.34208291956080444,-1.3708909313258237,0.8574182543613819,4.526250535488228
COAIUSDT,junk,230,0.006348939092810675,1.198158535974323,7.177555732954621,13.496259237216629
COHRUSDT,junk,22,,,,
COINUSDT,junk,260,0.5300756237992833,1.1085765604871132,0.6963967027778628,5.9072777584076315
COMPUSDT,trend,1093,0.31759727103723795,1.1149295165791762,0.9249825717076778,6.0650737702742745
COOKIEUSDT,trend,492,0.32503869399664986,1.8323054039729048,1.4320893334635632,4.587650488846871
COPPERUSDT,junk,66,0.19216160799180068,0.35735099605245757,0.2919588175456333,4.18224683226069
COPUSDT,junk,63,0.14665598502164814,-0.3625146294326823,0.34403020514655214,3.6058722829630865
COSTUSDT,junk,73,0.007642856658931969,-0.03863780809693668,0.17520809014483613,4.707218794264349
COTIUSDT,trend,1093,0.32237500857458506,1.4204065054664163,1.1696515138287895,5.6836456845637215
COWUSDT,trend,554,0.23751041867997183,1.4156107546830543,1.319398877001824,6.963064885596202
CRCLUSDT,junk,268,0.32292151999409935,1.2295797123164922,0.9861033417531361,5.922585416374813
CRDOUSDT,junk,16,,,,
CROSSUSDT,junk,314,0.06749613915138457,1.261507501647117,2.1128881443076386,28.138780624665493
CROUSDT,trend,548,0.3711849867400519,1.2054328329865105,0.8844195255607792,7.571562620500711
CRVUSDT,trend,1093,0.3538912575388573,1.3023239231863344,1.0235489552196984,4.602739629436909
CRWVUSDT,junk,16,,,,
