feature,quantile,horizon,n,mean,median,win,std
vs_24h_high_pct,"(0.0237, 0.0339]",fwd_ret_4h,1262,-0.00031435033064603233,-0.0007177292832682425,0.48019017432646594,0.037401667179313654
vs_24h_high_pct,"(0.0237, 0.0339]",fwd_ret_24h,1261,-0.002158138166818099,-0.008928571428571286,0.4337827121332276,0.07753564322020234
vs_24h_high_pct,"(0.0237, 0.0339]",fwd_ret_72h,1260,-0.0034721684174517094,-0.019767858397722438,0.4174603174603175,0.1344807333130499
vs_24h_high_pct,"(0.0237, 0.0339]",fwd_ret_168h,1246,-0.00176290243903964,-0.02598142059203906,0.4229534510433387,0.20789342146796086
vs_24h_high_pct,"(0.0237, 0.0339]",fwd_ret_336h,1210,0.022248444427758328,-0.044577804464512094,0.4214876033057851,0.3087514303143824
vs_24h_high_pct,"(0.0237, 0.0339]",fwd_ret_672h,1157,0.01774076072287668,-0.07775908914477947,0.3863439930855661,0.46440463380377944
vs_24h_high_pct,"(0.0339, 0.0524]",fwd_ret_4h,1263,0.0009551913219321504,-0.0015905476028176269,0.47268408551068886,0.03843046896410724
vs_24h_high_pct,"(0.0339, 0.0524]",fwd_ret_24h,1262,-0.0005568521860560597,-0.007250080973591255,0.4405705229793978,0.09856566209573643
vs_24h_high_pct,"(0.0339, 0.0524]",fwd_ret_72h,1260,0.003157101879174077,-0.01790944334129768,0.43492063492063493,0.16117212003002904
vs_24h_high_pct,"(0.0339, 0.0524]",fwd_ret_168h,1246,0.017188948623458846,-0.018156747890967107,0.45264847512038525,0.23936811680910564
vs_24h_high_pct,"(0.0339, 0.0524]",fwd_ret_336h,1210,0.049702374186456504,-0.025658735625201434,0.4537190082644628,0.3804185693852392
vs_24h_high_pct,"(0.0339, 0.0524]",fwd_ret_672h,1180,0.05078933244566007,-0.06978287906341724,0.41694915254237286,0.505267768563193
vs_24h_high_pct,"(0.0524, 1.483]",fwd_ret_4h,1264,-0.001509052466590762,-0.0032409036778077716,0.47151898734177217,0.0651570717157471
vs_24h_high_pct,"(0.0524, 1.483]",fwd_ret_24h,1262,-0.01008856472503247,-0.020540387752843614,0.3906497622820919,0.11972916338964618
vs_24h_high_pct,"(0.0524, 1.483]",fwd_ret_72h,1261,-0.009453735882534696,-0.030743314381975084,0.3901665344964314,0.19363606027364363
vs_24h_high_pct,"(0.0524, 1.483]",fwd_ret_168h,1249,-0.007036920050390984,-0.04689655172413798,0.3931144915932746,0.2709273317482343
vs_24h_high_pct,"(0.0524, 1.483]",fwd_ret_336h,1213,0.02020792682660453,-0.06987920509157042,0.38746908491343773,0.4436639523474063
vs_24h_high_pct,"(0.0524, 1.483]",fwd_ret_672h,1146,0.037772818283149656,-0.1085902573985642,0.36736474694589877,0.7496524618736634
vs_72h_low_pct,"(0.0318, 0.12]",fwd_ret_4h,1261,-0.00024596074634348477,-0.0005622715771717024,0.4845360824742268,0.030486508966178973
vs_72h_low_pct,"(0.0318, 0.12]",fwd_ret_24h,1258,-0.0005145039665828313,-0.005949078081517178,0.43481717011128773,0.06886189748181358
vs_72h_low_pct,"(0.0318, 0.12]",fwd_ret_72h,1254,-0.0014753209425846852,-0.011885090225334072,0.4473684210526316,0.11805923668824886
vs_72h_low_pct,"(0.0318, 0.12]",fwd_ret_168h,1225,0.00036348849789278237,-0.020128599384959478,0.43183673469387757,0.2034759177010166
vs_72h_low_pct,"(0.0318, 0.12]",fwd_ret_336h,1168,0.010374752840844555,-0.03595387894273605,0.4220890410958904,0.2726716244979778
vs_72h_low_pct,"(0.0318, 0.12]",fwd_ret_672h,1109,0.01888979271270639,-0.055758167640730605,0.40577096483318303,0.41702044826242785
