strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_chase,1w,60,h39_tr25_TP30_SL20_cutN,39,0.25,0.3,-0.2,False,81,63.0,10.81,8.33,27.6,74684.4,-49.8,1.75,3.32
trend_chase,1w,60,h26_tr20_TP40_SLx_cutN,26,0.2,0.4,,False,81,65.4,11.46,6.54,22.2,98756.0,-62.8,1.75,3.62
trend_chase,1w,60,h39_tr20_TP25_SL20_cutY,39,0.2,0.25,-0.2,True,81,58.0,9.23,8.16,22.4,34174.9,-42.7,1.74,3.1
trend_chase,1w,60,h39_tr25_TP40_SLx_cutY,39,0.25,0.4,,True,81,56.8,11.64,4.91,27.7,115210.8,-59.0,1.74,3.66
trend_chase,1w,60,h39_tr25_TP25_SL20_cutY,39,0.25,0.25,-0.2,True,81,59.3,9.32,8.33,23.1,35557.6,-39.8,1.74,3.07
trend_chase,1w,60,h52_tr25_TPx_SL20_cutN,52,0.25,0.0,-0.2,False,81,65.4,29.82,16.02,42.2,264041105.8,-45.8,1.73,7.12
trend_chase,1w,60,h39_tr20_TP30_SLx_cutY,39,0.2,0.3,,True,81,56.8,9.88,4.91,24.6,48443.7,-37.3,1.72,3.39
trend_chase,1w,60,h39_tr25_TP30_SLx_cutY,39,0.25,0.3,,True,81,58.0,9.95,7.44,25.3,49142.8,-41.8,1.72,3.32
trend_chase,1w,60,h26_tr20_TP25_SLx_cutY,26,0.2,0.25,,True,81,60.5,8.59,6.53,17.7,24476.0,-44.8,1.72,3.08
trend_chase,1w,60,h26_tr25_TP40_SLx_cutN,26,0.25,0.4,,False,81,65.4,11.29,6.54,22.8,84644.6,-64.4,1.71,3.49
trend_chase,1w,60,h26_tr20_TP25_SL20_cutY,26,0.2,0.25,-0.2,True,81,60.5,8.56,6.53,17.5,23834.2,-44.3,1.71,3.06
trend_chase,1w,60,h52_tr15_TP40_SLx_cutY,52,0.15,0.4,,True,81,54.3,11.52,5.01,27.4,101303.0,-52.4,1.71,3.42
trend_chase,1w,60,h26_tr25_TP25_SL20_cutY,26,0.25,0.25,-0.2,True,81,61.7,8.56,6.53,17.8,23468.5,-44.3,1.71,3.05
trend_chase,1w,60,h26_tr25_TP25_SLx_cutY,26,0.25,0.25,,True,81,61.7,8.59,6.53,18.0,24100.6,-44.8,1.71,3.07
trend_chase,1w,60,h52_tr15_TP30_SLx_cutY,52,0.15,0.3,,True,81,54.3,10.33,5.08,25.2,56521.6,-42.5,1.7,3.17
trend_chase,1w,60,h52_tr15_TPx_SL20_cutN,52,0.15,0.0,-0.2,False,81,58.0,14.9,6.61,32.0,440819.5,-57.8,1.7,3.85
trend_chase,1w,60,h26_tr20_TPx_SL20_cutN,26,0.2,0.0,-0.2,False,81,64.2,14.57,6.53,23.2,441917.7,-45.7,1.7,4.46
trend_chase,1w,60,h26_tr20_TP30_SLx_cutY,26,0.2,0.3,,True,81,59.3,9.4,5.3,18.1,36169.9,-39.5,1.69,3.26
trend_chase,1w,60,h39_tr20_TP40_SL20_cutY,39,0.2,0.4,-0.2,True,81,56.8,11.37,4.25,25.8,92642.6,-44.9,1.69,3.56
trend_chase,1w,60,h26_tr15_TP30_SL20_cutN,26,0.15,0.3,-0.2,False,81,61.7,9.79,6.54,18.8,42251.5,-47.4,1.68,3.23
trend_chase,1w,60,h52_tr20_TPx_SL20_cutN,52,0.2,0.0,-0.2,False,81,65.4,28.63,11.43,39.6,159645542.3,-41.7,1.68,7.24
trend_chase,1w,60,h26_tr20_TP30_SL20_cutY,26,0.2,0.3,-0.2,True,81,59.3,9.37,5.3,17.9,35222.6,-38.9,1.68,3.23
trend_chase,1w,60,h39_tr25_TP40_SL20_cutY,39,0.25,0.4,-0.2,True,81,56.8,11.35,4.91,26.9,87387.6,-57.4,1.68,3.43
trend_chase,1w,60,h39_tr20_TP25_SL15_cutN,39,0.2,0.25,-0.15,False,81,60.5,9.13,8.33,22.1,28997.7,-54.6,1.67,2.86
