asset,strategy,interval,threshold,exit_rule,max_hold,trailing_pct,take_profit_pct,cut_early_neg,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
crypto,trend_chase,1w,80.0,chase_default,8,0.15,0.3,0,30,36.666666666666664,3.828109145765323,-7.196724873391059,-5.609884273246402,-66.05145509733048,0.4063554414860079,1.3944474301280336,4.866666666666666
crypto,trend_chase,1w,85.0,chase_default,8,0.15,0.3,0,19,47.368421052631575,7.577246101430479,-5.990391437676623,72.2397667386795,-45.5801168876231,0.7420537651521596,1.818575536168299,4.7894736842105265
crypto,trend_chase,1w,90.0,chase_default,8,0.15,0.3,0,15,33.33333333333333,-4.865041108274583,-12.480408231554296,-67.85665913376143,-72.54333236763408,-0.676498332484082,0.5975940804956046,5.133333333333334
crypto,trend_pullback,1w,60.0,pullback_default,13,0.15,0.3,0,270,30.37037037037037,-2.767949563618072,-13.03623973369506,-100.0,-100.0,-0.1353355723591551,0.8561692782483854,7.822222222222222
crypto,trend_pullback,1w,70.0,pullback_default,13,0.15,0.3,0,172,34.30232558139535,0.14048054294134504,-14.675325152981506,-99.99999995997699,-99.99999997811885,0.0060498798914164105,1.0071327484883636,7.924418604651163
crypto,trend_pullback,1w,75.0,pullback_default,13,0.15,0.3,0,127,29.92125984251969,-6.785322164507851,-16.426118817063596,-99.99999996502554,-99.99999997348775,-0.3834657206602047,0.6804644499945177,8.551181102362206
crypto,trend_pullback,1w,80.0,pullback_default,13,0.15,0.3,0,74,28.37837837837838,-10.765576514877718,-17.42897243022858,-99.999977092259,-99.99997582896101,-0.6759233440730796,0.5070130134178414,8.635135135135135
crypto,trend_pullback,1w,85.0,pullback_default,13,0.15,0.3,0,45,24.444444444444443,-12.53444677334414,-18.92250884750729,-99.99508454149253,-99.99692374276651,-0.7844472835293588,0.4545040722063469,8.844444444444445
crypto,trend_pullback,1w,90.0,pullback_default,13,0.15,0.3,0,27,18.51851851851852,-17.37037221262997,-18.92250884750729,-99.91958057143414,-99.96959216754509,-1.2727314007551398,0.2474785007297009,9.777777777777779
crypto,quiet_bottom,1w,100.0,quiet_default,13,0.15,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
