body_ret_min,vol_ratio_min,pullback_timeout_h,horizon_h,n,mean,median,std,win,var_adj
0.03,10.0,24,72,1764,-0.00911891000180919,-0.026943379639754406,0.16799625361134282,0.38832199546485263,-0.28631272846052486
0.03,10.0,24,168,1744,-0.004823759548188432,-0.03623477255140828,0.22894564886685015,0.4025229357798165,-0.38258408017849116
0.03,10.0,24,336,1675,0.02328979532741906,-0.046720733427362604,0.3950462193928066,0.408955223880597,-0.6285364666707118
0.03,10.0,24,672,1597,0.048286705677277275,-0.05932040698790553,0.5823310656181211,0.40513462742642453,-0.9125595525926224
0.05,3.0,12,4,2924,0.0006564023163558586,-0.001190289846936754,0.05796481322173083,0.48119015047879615,-0.0949855394995
0.05,3.0,12,12,2923,0.0008870283335086172,-0.007739438890680406,0.09927547996739847,0.43140608963393773,-0.16291751361269885
0.05,3.0,12,24,2920,-0.003922850466338863,-0.01423795326075139,0.11483254752117816,0.4113013698630137,-0.19339655387628282
0.05,3.0,12,72,2917,-0.002838843943593393,-0.02570093457943934,0.18533058280325027,0.40692492286595816,-0.3086343055689563
0.05,3.0,12,168,2876,0.00021136149816041965,-0.040995743986511346,0.2554102744039777,0.4109874826147427,-0.42121559126840274
0.05,3.0,12,336,2800,0.02344864613918089,-0.0582861192706009,0.4133601509872962,0.4132142857142857,-0.6585956029898579
0.05,3.0,12,672,2669,0.0308049556864443,-0.10259565898411283,0.6703294989027421,0.3701760959160734,-1.0752387175030802
0.05,3.0,24,4,3273,0.0007741466919735697,-0.0011658408627223116,0.05803789481782937,0.4818209593644974,-0.0949883797574449
0.05,3.0,24,12,3272,0.0017198611385004499,-0.006363468695026686,0.09931871032797863,0.4388753056234719,-0.1621560109026643
0.05,3.0,24,24,3269,-0.001948522719858271,-0.013335331135750472,0.11703964971673426,0.4172529825634751,-0.1950639447524698
0.05,3.0,24,72,3265,-0.000695939241797879,-0.024461028192371392,0.18744528473201702,0.4122511485451761,-0.30998065904962596
0.05,3.0,24,168,3215,0.0022602029278380666,-0.03911724714987963,0.2618171607577562,0.41430793157076207,-0.4297381123224596
0.05,3.0,24,336,3122,0.024869459750445983,-0.05660802026429024,0.4119047188988517,0.41736066623959,-0.6547733264326593
0.05,3.0,24,672,2982,0.031102558892524293,-0.10160971839980548,0.662753992493495,0.37122736418511065,-1.0624415287217424
0.05,5.0,12,4,2072,0.00021796712180037877,-0.001294181926198068,0.055901106735198665,0.4811776061776062,-0.09201885899127742
0.05,5.0,12,12,2071,-0.0010190286776301368,-0.009561752988047845,0.10003983742963458,0.41670690487687106,-0.16608476043652717
0.05,5.0,12,24,2069,-0.005633495564179799,-0.014635261833981228,0.1120400101388196,0.40985983566940554,-0.19049951229323214
0.05,5.0,12,72,2068,-0.005103904406639799,-0.02539605919996679,0.17806338174236241,0.39990328820116056,-0.29890848428153777
0.05,5.0,12,168,2037,0.0005217346053507331,-0.04135249764373239,0.25405269061412594,0.40795287187039764,-0.41866520490795706
