body_ret_min,vol_ratio_min,pullback_timeout_h,h,n,mean,median,win,std
0.03,10.0,12,336,813,-0.029874021924412034,-0.0839253996447602,0.3075030750307503,0.31772508073785477
0.03,10.0,12,672,743,-0.05195368184667413,-0.11970899470899476,0.288021534320323,0.5101307398268154
0.03,10.0,24,4,997,-0.0025374291882232507,-0.0019261637239166296,0.45135406218655966,0.054330097103414646
0.03,10.0,24,12,996,-0.005188790276651687,-0.011270563108396692,0.3985943775100402,0.11499322353734368
0.03,10.0,24,24,994,-0.01102928256193413,-0.01609442314418058,0.38329979879275655,0.11318265665655619
0.03,10.0,24,72,993,-0.021388119636438798,-0.04061656165616567,0.3403826787512588,0.1830719630900049
0.03,10.0,24,168,973,-0.027571264466179773,-0.059160305343511466,0.3340184994861254,0.23387236544151135
0.03,10.0,24,336,904,-0.02948512494818532,-0.08527389937763674,0.3086283185840708,0.32053485510313634
0.03,10.0,24,672,826,-0.05209989159148805,-0.12051141644404056,0.288135593220339,0.49888335595102634
0.05,3.0,12,4,1586,-0.0018254288189091046,-0.0034481670304128964,0.4514501891551072,0.06807904127044097
0.05,3.0,12,12,1585,-0.004096080489090867,-0.011908306043465489,0.41451104100946373,0.11758961786203537
0.05,3.0,12,24,1582,-0.011401091512410687,-0.0175765095119933,0.3919089759797724,0.12610077495482055
0.05,3.0,12,72,1579,-0.01607181033785377,-0.03733078895581132,0.37555414819506017,0.20675564982747163
0.05,3.0,12,168,1538,-0.032111743265886915,-0.07252366128874227,0.33355006501950585,0.2650152369328273
0.05,3.0,12,336,1462,-0.02914805417115669,-0.09432957426860306,0.3228454172366621,0.39432108221739653
0.05,3.0,12,672,1331,-0.02867487234344255,-0.15868206779019134,0.28174305033809166,0.7539534533256607
0.05,3.0,24,4,1758,-0.001294187308358475,-0.0030018251710542954,0.45847554038680316,0.06765223772274409
0.05,3.0,24,12,1757,-0.0032632769716121213,-0.010698762955533181,0.4217416050085373,0.11651792894647177
0.05,3.0,24,24,1754,-0.009609654010955397,-0.016744918651991514,0.3962371721778791,0.12777200137470418
