직전_저점_MA20w_이하_pct,반등기간_일,숏보유_일,표본수,윈율,평균_숏수익,중위_숏수익,p10_숏수익,p25_숏수익,p75_숏수익,p90_숏수익,표준편차,최대손실,Sharpe_like
30,40,3,646,0.5789473684210527,-0.00047070856082587036,0.027663067143979037,-0.2296013049244211,-0.05808233853823813,0.10508548501771373,0.17740640807285196,0.18234531748787844,-1.0,-0.0025814129329488327
30,40,4,644,0.5714285714285714,-0.004731926204168288,0.028065516258814927,-0.24633760761615056,-0.0790510137973005,0.12222465078904274,0.18612687775857226,0.19993121259345537,-1.0,-0.023667771243854222
30,40,5,644,0.5838509316770186,0.0024980931485017134,0.03272552022825803,-0.24655821624448507,-0.08028893362254685,0.13341263174078144,0.20231088089818688,0.19973040663469002,-1.0,0.012507325201969694
30,40,6,643,0.6018662519440124,0.00704560517824601,0.04539903414935709,-0.21879047887562772,-0.07919199682671141,0.1334720349306237,0.2115321662862391,0.20826491328887906,-1.0,0.033830015181065216
30,40,7,641,0.6037441497659907,0.011688652930144346,0.04438964241676935,-0.23561904461578087,-0.06701514161529509,0.13869483728062704,0.21596327035140384,0.20641230800272645,-1.0,0.056627693586905455
30,60,1,846,0.5260047281323877,-0.02779715796631181,0.004449769569384254,-0.19991679973348808,-0.06705798630441057,0.05638688636253225,0.11948185010875856,0.17039872155726588,-1.0,-0.16313008520413122
30,60,2,843,0.564650059311981,-0.015614402695691781,0.012408042326446989,-0.22174917781146503,-0.06056058435223266,0.07722899153263546,0.14765430513209468,0.1762305970701108,-1.0,-0.08860210970901844
30,60,3,841,0.5434007134363853,-0.013071357594818629,0.013566889919285452,-0.22859262617727683,-0.07431403422730432,0.09306011807677295,0.16319620129996493,0.18510954668973398,-1.0,-0.07061417322104845
30,60,4,838,0.5381861575178998,-0.01585182747814364,0.014716948629003357,-0.24384643860275967,-0.08018630282088579,0.11031401462456628,0.17439889609380313,0.2006394180324005,-1.0,-0.079006546338685
30,60,5,837,0.5543608124253285,-0.009634005126714845,0.01858374832989218,-0.24919339611055993,-0.08459264334564098,0.11775998675426735,0.18848420166218136,0.19788031483665788,-1.0,-0.048686020813476685
30,60,6,836,0.5657894736842105,-0.006838024104110026,0.02496815462541946,-0.23294018978133746,-0.08770572907172702,0.11941540440115037,0.19631018294242142,0.2076645733333702,-1.0,-0.0329282168563857
30,60,7,834,0.5743405275779376,-0.0028939737252666924,0.028408936734349355,-0.24744504701061534,-0.08545587781269137,0.12439122980567377,0.20276903282989386,0.20749932633381693,-1.0,-0.013946906606390513
40,10,1,90,0.6111111111111112,0.01870747789549607,0.04116076345599479,-0.23135570977056105,-0.0742898661569884,0.15353927000701564,0.22644797090260455,0.1952892418124357,-0.784704881595917,0.09579369412199135
40,10,2,90,0.7222222222222222,0.05040953609731748,0.061398184548422996,-0.225106581025194,-0.012330682897273293,0.16950045207194714,0.2841825957268796,0.21147614420042488,-1.0,0.23836984681138423
40,10,3,90,0.7333333333333333,0.057178022378450086,0.09959937141097686,-0.2431034265398797,-0.022615346241082745,0.19116398214431074,0.30558528362344073,0.23046125264888476,-1.0,0.24810254097491463
40,10,4,89,0.7191011235955056,0.041628761374130456,0.10725606593279924,-0.31433204068977416,-0.04736995702693303,0.18808133121218817,0.2812737231310772,0.2628487425507468,-1.0,0.158375349146262
40,10,5,89,0.7303370786516854,0.05256342691936292,0.10317767603750472,-0.3257079638868773,-0.006354113000171857,0.20756438030394342,0.2890110550927206,0.25672543099937256,-0.8626347995499821,0.20474569548776564
40,10,6,89,0.7078651685393258,0.050500313381986205,0.12160078929518392,-0.37935546643640766,-0.0634164920967435,0.2189339503917509,0.28093884702690736,0.27870634818215473,-1.0,0.181195418444436
40,10,7,89,0.6853932584269663,0.07037043405019107,0.12309990334768484,-0.2807913147110024,-0.035677618069815065,0.24675407331975563,0.3027759658740196,0.25280546260762415,-1.0,0.27835804386637025
40,20,1,140,0.6428571428571429,0.02318233552547425,0.04061366924962184,-0.16808509458303622,-0.05375826207371298,0.10502288901583656,0.2009138835296773,0.1637718505788452,-0.784704881595917,0.14155262606813804
40,20,2,140,0.6928571428571428,0.04703317118179672,0.05272326773595398,-0.11159023527498474,-0.013826352975284228,0.14643430003426156,0.22683527852338,0.17754554951150053,-1.0,0.2649076324988374
40,20,3,140,0.7,0.050760391705811495,0.06738335969887654,-0.19045667813367986,-0.0188106679113465,0.15640248503418433,0.24931370318591634,0.19363594526327238,-1.0,0.2621434343545893
40,20,4,139,0.6906474820143885,0.04009915833987125,0.08554092854434148,-0.22078228859533391,-0.030716794637955402,0.17000513274689005,0.2381761800717107,0.22223468771037938,-1.0,0.18043609102161975
40,20,5,139,0.7050359712230215,0.04909299791164402,0.0920133870210238,-0.2637198757681254,-0.016416767704374613,0.1870044844147033,0.26133695290011727,0.22168730724187238,-0.8626347995499821,0.22145155048539159
40,20,6,139,0.6906474820143885,0.05031716266536278,0.09234689394605056,-0.19676374917138212,-0.04269686706111775,0.19727825507108881,0.2720426405547839,0.2384657548586067,-1.0,0.21100372544140475
40,20,7,138,0.6811594202898551,0.062286303424138934,0.09657192832541689,-0.23795448748117903,-0.042624051239286864,0.2157241094054124,0.28275918387235227,0.23036716561942477,-1.0,0.2703783903259818
40,40,1,275,0.5636363636363636,-0.019252228503158293,0.017686349075245134,-0.23949380824048436,-0.07746708785292056,0.07346655701706883,0.1739881864768249,0.18753337962944241,-1.0,-0.10266027595300546
40,40,2,275,0.6181818181818182,0.0055879343018761475,0.030378061456885597,-0.22511293003807067,-0.05319441821738957,0.11275049750605048,0.18833491552235002,0.194190418977028,-1.0,0.02877554068482225
40,40,3,275,0.6145454545454545,0.014026338154323852,0.04752947195954904,-0.23856311670076474,-0.04453112359947786,0.14377888458972848,0.21529200019678266,0.2032823939629711,-1.0,0.06899927672476555
40,40,4,274,0.6131386861313869,0.006284497727372274,0.05010536006082633,-0.25219594221962927,-0.0835189884936226,0.14986638312228903,0.22040389098146382,0.22575627028929887,-1.0,0.027837533457294044
40,40,5,274,0.6167883211678832,0.016220676664569417,0.07087435978024398,-0.2619638014402639,-0.0606183836349839,0.16228159917664373,0.22599723424913554,0.22156120127136458,-1.0,0.07321081746935734
40,40,6,274,0.6386861313868614,0.021730379844184623,0.062098755915277526,-0.23871502083147694,-0.07529731230196862,0.1662554021604516,0.244364523264805,0.22864902074927212,-1.0,0.09503814961890143
