lookback_N,threshold_X,hold_H,count,win_rate,mean_short,mean_capped,median_short,p25,p75,std,sharpe_like
40,0.5,10,21069,0.621861502681665,0.0066767758102875595,0.015679017436942416,0.059163059163059306,-0.08073867296542847,0.17067516661837145,0.3214201554759968,0.020772735301555077
40,0.5,20,20307,0.6594770276259418,0.013112942934194193,0.03713261637508975,0.10132032146957515,-0.07825957966453023,0.23294457540442554,0.4837821771370621,0.027105055857564418
40,0.5,40,19592,0.6994181298489179,0.032576347339989674,0.08330128564176816,0.17043517391186913,-0.06488412041655234,0.3288938182194603,0.7690423766183895,0.04235962585473304
40,0.5,60,19104,0.6868718592964824,0.03453484293543577,0.09833639722720824,0.17648421681352,-0.0836283118064392,0.39014619582229393,0.8689026687751344,0.039745352588361225
40,1.0,5,7035,0.6119402985074627,0.003425134967538279,0.013726908157265658,0.04806696582671732,-0.0715645049326431,0.15211097753643282,0.34161516786684426,0.010026296516416209
40,1.0,10,6968,0.6485361653272101,0.007135774223935223,0.024110192506582168,0.08161703827438449,-0.07807904288093787,0.1957647362147635,0.39192657274546827,0.01820691609131964
40,1.0,20,6741,0.6899569796766059,0.009259927936496394,0.0530763527061001,0.13361309065627092,-0.060579674088816926,0.26861313868613146,0.607343685852743,0.0152466027921159
40,1.0,40,6498,0.713911972914743,0.05401332445838014,0.09620766136555503,0.18553641202615373,-0.052013628031800596,0.3521354112460714,0.6613461723311497,0.0816717881166394
40,1.0,60,6322,0.689180639038279,0.05769881173362283,0.09987556805975556,0.19583645045730647,-0.10387760799255791,0.4252029945842962,0.6192721168830478,0.09317198394792171
40,2.0,5,1869,0.584804708400214,-0.02752622841823476,-0.001479017838424952,0.03631559542829055,-0.09821952651144583,0.15526046986721154,0.48401750260492427,-0.05687031619743479
