665 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 351/665] LUMIAUSDT            rows= 14687  ( 0.1s)
[ 352/665] LUNAUSDT             rows= 34607  ( 0.1s)
[ 353/665] LUNCUSDT             rows= 33070  ( 0.1s)
[ 354/665] LWLGUSDT             rows=  1081  ( 0.1s)
[ 355/665] LYNUSDT              rows=  6221  ( 0.1s)
[ 356/665] MAGICUSDT            rows= 29642  ( 0.1s)
[ 357/665] MAGMAUSDT            rows=  4270  ( 0.1s)
[ 359/665] MANTAUSDT            rows= 21189  ( 0.1s)
[ 360/665] MANTRAUSDT           rows=  2711  ( 0.1s)
[ 358/665] MANAUSDT             rows= 39985  ( 0.2s)
[ 361/665] MARUSDT              rows=   234  ( 0.1s)
[ 362/665] MASKUSDT             rows= 33841  ( 0.1s)
[ 363/665] MAVUSDT              rows= 26204  ( 0.1s)
[ 364/665] MCDUSDT              rows=  7270  ( 0.1s)
[ 365/665] MDBUSDT              rows=   405  ( 0.1s)
[ 366/665] MEGAUSDT             rows=  3500  ( 0.1s)
[ 367/665] MELANIAUSDT          rows= 12509  ( 0.1s)
[ 368/665] MEMEUSDT             rows= 23155  ( 0.1s)
[ 369/665] MERLUSDT             rows= 14112  ( 0.1s)
[ 370/665] METAUSDT             rows=  7270  ( 0.1s)
[ 371/665] METISUSDT            rows= 19868  ( 0.1s)
[ 372/665] METUSDT              rows=  6122  ( 0.1s)
[ 373/665] MEUSDT               rows= 13482  ( 0.1s)
[ 374/665] MEWUSDT              rows= 17707  ( 0.1s)
[ 375/665] MINAUSDT             rows= 29259  ( 0.1s)
[ 377/665] MIRAUSDT             rows=  6525  ( 0.1s)
[ 378/665] MMTUSDT              rows=  5588  ( 0.1s)
[ 379/665] MOCAUSDT             rows= 17094  ( 0.1s)
[ 380/665] MONUSDT              rows=  6191  ( 0.1s)
[ 376/665] MINIMAXUSDT          rows=    24  (34.2s)
[ 381/665] MOODENGUSDT          rows= 15166  ( 0.1s)
[ 382/665] MORPHOUSDT           rows= 13942  ( 0.1s)
[ 383/665] MOVEUSDT             rows= 13508  ( 0.1s)
[ 384/665] MOVRUSDT             rows= 18677  ( 0.1s)
[ 385/665] MPUSDT               rows=  1393  ( 0.1s)
[ 386/665] MRVLUSDT             rows=  6912  ( 0.1s)
[ 387/665] MSFTUSDT             rows=  6622  ( 0.1s)
[ 388/665] MSTRUSDT             rows=  7248  ( 0.1s)
[ 389/665] MTLUSDT              rows= 14615  ( 0.1s)
[ 390/665] MUBARAKUSDT          rows= 11161  ( 0.1s)
[ 391/665] MUSDT                rows=  8569  ( 0.1s)
[ 392/665] MUUSDT               rows=  3211  ( 0.1s)
[ 393/665] MUUUSDT              rows=   163  ( 0.1s)
[ 395/665] MYXUSDT              rows=  6914  ( 0.1s)
[ 394/665] MVLLUSDT             rows=    22  (31.9s)
[ 396/665] NAORISUSDT           rows=  7896  ( 0.1s)
[ 397/665] NATGASUSDT           rows=  2038  ( 0.1s)
[ 398/665] NBISUSDT             rows=  1539  ( 0.1s)
[ 399/665] NDX100USDT           rows=   818  ( 0.1s)
[ 400/665] NEARUSDT             rows= 39480  ( 0.1s)
[ 401/665] NEIROCTOUSDT         rows= 14977  ( 0.1s)
[ 402/665] NEOUSDT              rows= 37966  ( 0.1s)
[ 403/665] NEWTUSDT             rows=  8785  ( 0.1s)
[ 404/665] NFLXUSDT             rows=  1870  ( 0.1s)
[ 405/665] NIGHTUSDT            rows=  4725  ( 0.1s)
[ 406/665] NILUSDT              rows= 10987  ( 0.1s)
[ 407/665] NIOUSDT              rows=  1081  ( 0.1s)
[ 408/665] NKEUSDT              rows=   234  ( 0.1s)
[ 409/665] NMRUSDT              rows= 11118  ( 0.1s)
[ 410/665] NOCUSDT              rows=   572  ( 0.1s)
[ 411/665] NOKSTOCKUSDT         rows=   888  ( 0.1s)
[ 412/665] NOTUSDT              rows= 18473  ( 0.1s)
[ 413/665] NOWUSDT              rows=   572  ( 0.1s)
[ 414/665] NTAPUSDT             rows=   572  ( 0.1s)
[ 415/665] NVDAUSDT             rows=  7444  ( 0.1s)
[ 416/665] NXPCUSDT             rows=  9747  ( 0.1s)
[ 417/665] OGNUSDT              rows= 25201  ( 0.1s)
[ 418/665] OGUSDT               rows= 14977  ( 0.1s)
[ 419/665] OKLOUSDT             rows=  1393  ( 0.1s)
[ 420/665] ONDOUSDT             rows= 19677  ( 0.1s)
[ 421/665] ONDSUSDT             rows=   888  ( 0.1s)
[ 422/665] ONEUSDT              rows= 32927  ( 0.1s)
[ 423/665] ONGUSDT              rows= 19198  ( 0.1s)
[ 424/665] ONTUSDT              rows= 28126  ( 0.1s)
[ 425/665] OPENAIUSDT           rows=   718  ( 0.1s)
[ 426/665] OPENUSDT             rows=  6957  ( 0.1s)
[ 427/665] OPGUSDT              rows=  1517  ( 0.1s)
[ 428/665] OPNUSDT              rows=  2952  ( 0.1s)
[ 429/665] OPUSDT               rows= 35357  ( 0.1s)
[ 430/665] ORCAUSDT             rows= 13581  ( 0.1s)
[ 431/665] ORCLUSDT             rows=  6935  ( 0.1s)
[ 432/665] ORDERUSDT            rows= 15984  ( 0.1s)
[ 433/665] ORDIUSDT             rows= 27137  ( 0.1s)
[ 434/665] OSSUSDT              rows=   357  ( 0.1s)
[ 435/665] OUSDT                rows=    48  ( 0.1s)
[ 436/665] OUSTUSDT             rows=   888  ( 0.1s)
[ 437/665] OXYUSDT              rows=  2522  ( 0.1s)
[ 438/665] PANWUSDT             rows=   718  ( 0.1s)
[ 439/665] PARTIUSDT            rows= 10965  ( 0.1s)
[ 440/665] PAXGUSDT             rows= 17424  ( 0.1s)
[ 441/665] PENDLEUSDT           rows= 25491  ( 0.1s)
[ 442/665] PENGUUSDT            rows= 13298  ( 0.1s)
[ 443/665] PEOPLEUSDT           rows= 38136  ( 0.1s)
[ 444/665] PEPEUSDT             rows= 27521  ( 0.1s)
[ 445/665] PHAUSDT              rows= 13005  ( 0.1s)
