Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,Name,entry_month
088260,2026-04-02,4830,2026-04-03,4845,1,0.31055900621117516,STOP,이리츠코크렙,2026-04
088260,2026-04-13,4900,2026-04-27,5340,10,8.979591836734691,TIMEOUT,이리츠코크렙,2026-04
088350,2025-09-10,3310,2025-09-24,3185,10,-3.776435045317217,STOP,한화생명,2025-09
088350,2026-01-26,3530,2026-01-29,3570,3,1.1331444759206777,T_star,한화생명,2026-01
088350,2026-03-11,5100,2026-03-12,4910,1,-3.7254901960784292,STOP,한화생명,2026-03
088350,2026-03-25,4970,2026-03-26,4730,1,-4.828973843058348,STOP,한화생명,2026-03
088350,2026-04-17,4900,2026-05-04,5040,10,2.857142857142847,TIMEOUT,한화생명,2026-04
088350,2026-05-04,5040,2026-05-08,4800,3,-4.761904761904767,STOP,한화생명,2026-05
088350,2026-05-13,4980,2026-05-14,5490,1,10.24096385542168,T_star,한화생명,2026-05
088790,2025-09-05,1909,2025-09-19,1910,10,0.05238344683080598,STOP,진도,2025-09
088790,2025-11-25,2015,2025-11-26,2000,1,-0.7444168734491274,STOP,진도,2025-11
088790,2025-12-01,2025,2025-12-02,2015,1,-0.4938271604938316,STOP,진도,2025-12
088790,2025-12-16,2025,2025-12-19,2005,3,-0.987654320987652,STOP,진도,2025-12
088790,2025-12-22,2025,2025-12-23,2015,1,-0.4938271604938316,STOP,진도,2025-12
088790,2025-12-26,2050,2025-12-29,2005,1,-2.195121951219514,STOP,진도,2025-12
088790,2026-02-11,2150,2026-03-03,2270,10,5.581395348837215,TIMEOUT,진도,2026-02
088790,2026-03-09,2220,2026-03-13,2455,4,10.585585585585576,T_star,진도,2026-03
088790,2026-04-07,2665,2026-04-21,2715,10,1.8761726078799335,TIMEOUT,진도,2026-04
088790,2026-04-29,2685,2026-05-04,2665,2,-0.7448789571694592,STOP,진도,2026-04
088790,2026-05-22,2955,2026-06-01,2580,5,-12.690355329949243,STOP,진도,2026-05
088980,2026-01-23,11380,2026-01-28,11190,3,-1.6695957820738183,STOP,맥쿼리인프라,2026-01
088980,2026-02-04,11330,2026-02-06,11180,2,-1.3239187996469504,STOP,맥쿼리인프라,2026-02
088980,2026-04-21,11400,2026-04-30,11350,7,-0.43859649122807154,STOP,맥쿼리인프라,2026-04
089470,2025-09-03,4055,2025-09-17,4090,10,0.8631319358816336,TIMEOUT,HDC현대EP,2025-09
089470,2025-12-30,4290,2026-01-02,4210,1,-1.8648018648018683,STOP,HDC현대EP,2025-12
089470,2026-01-19,4395,2026-02-02,4410,10,0.34129692832765013,STOP,HDC현대EP,2026-01
089470,2026-04-17,5410,2026-05-04,5780,10,6.839186691312382,TIMEOUT,HDC현대EP,2026-04
089590,2026-04-14,5180,2026-04-28,5290,10,2.1235521235521304,TIMEOUT,제주항공,2026-04
089860,2025-12-24,32300,2025-12-29,31400,2,-2.786377708978327,STOP,롯데렌탈,2025-12
089860,2026-01-29,31150,2026-02-04,33400,4,7.223113964687,T_star,롯데렌탈,2026-01
089860,2026-04-15,32150,2026-04-29,33450,10,4.043545878693622,TIMEOUT,롯데렌탈,2026-04
089860,2026-05-08,33250,2026-05-11,32900,1,-1.0526315789473717,STOP,롯데렌탈,2026-05
090080,2026-02-26,974,2026-03-03,942,2,-3.285420944558526,STOP,평화산업,2026-02
090080,2026-03-30,919,2026-04-01,948,2,3.1556039173014083,STOP,평화산업,2026-03
090080,2026-05-06,1004,2026-05-07,995,1,-0.8964143426294813,STOP,평화산업,2026-05
090350,2026-03-24,9010,2026-03-31,8230,5,-8.657047724750278,STOP,노루페인트,2026-03
090350,2026-04-21,8870,2026-05-04,8730,8,-1.5783540022547893,STOP,노루페인트,2026-04
090355,2025-09-10,13680,2025-09-24,13890,10,1.5350877192982448,TIMEOUT,노루페인트우,2025-09
090355,2026-04-20,13490,2026-05-06,13310,10,-1.3343217197924417,STOP,노루페인트우,2026-04
090370,2025-11-14,2100,2025-11-18,2040,2,-2.857142857142858,T_star,메타랩스,2025-11
090370,2025-12-18,2140,2025-12-30,1645,7,-23.130841121495326,STOP,메타랩스,2025-12
090370,2026-01-28,1650,2026-02-11,1770,10,7.272727272727275,TIMEOUT,메타랩스,2026-01
090370,2026-02-23,1717,2026-02-26,1655,3,-3.6109493302271423,STOP,메타랩스,2026-02
090430,2026-01-23,133300,2026-02-06,137300,10,3.0007501875468856,TIMEOUT,아모레퍼시픽,2026-01
090430,2026-03-27,144400,2026-04-02,134300,4,-6.99445983379502,STOP,아모레퍼시픽,2026-03
090430,2026-04-27,150800,2026-05-06,130000,5,-13.793103448275868,STOP,아모레퍼시픽,2026-04
090435,2025-09-12,42350,2025-09-26,40400,10,-4.604486422668241,STOP,아모레퍼시픽우,2025-09
090435,2026-01-14,44450,2026-01-15,44300,1,-0.3374578177727794,STOP,아모레퍼시픽우,2026-01
090435,2026-01-16,44750,2026-01-21,43650,3,-2.4581005586592153,STOP,아모레퍼시픽우,2026-01
090435,2026-01-22,46400,2026-02-05,50500,10,8.836206896551735,TIMEOUT,아모레퍼시픽우,2026-01
090435,2026-03-26,47700,2026-03-30,46800,2,-1.8867924528301883,STOP,아모레퍼시픽우,2026-03
090435,2026-04-20,47650,2026-05-06,46500,10,-2.413431269674715,STOP,아모레퍼시픽우,2026-04
090460,2025-10-30,17810,2025-11-05,16750,4,-5.951712521055585,STOP,비에이치,2025-10
