symbol,score,verdict,s_1m,s_1w,s_1d,m_1w,m_1d,v_1w,acc_w,acc_d,ret_30d,ret_90d,last_close,dist_ma10,dist_ma20,risk_flags,cut,Name,Marcap
005945,21.0,watch,A2,A2,A3,pullback_ma20,pullback_ma50,normal,0.0,0.0,0.02,0.335,25900.0,-0.011,-0.045,parabolic,False,NH투자증권우,482153232400
064350,21.0,skip,A2,A4,B2,breaking,breaking,normal,0.0,0.0,-0.002,-0.024,206000.0,0.003,-0.088,"drawdown_deep,parabolic",False,현대로템,23192737262500
139130,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.109,0.273,18920.0,0.022,0.005,,False,iM금융지주,3019742160400
163560,21.0,watch,B3,B3,B4,pullback_ma50,pullback_ma10,normal,0.0,0.0,-0.053,0.048,7170.0,0.022,-0.017,drawdown_deep,False,동일고무벨트,99246000000
005389,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.069,0.18,256000.0,-0.01,0.015,parabolic,False,현대차3우B,619102232000
051600,21.0,watch,A1,A4,B2,pullback_ma50,breaking,normal,0.0,0.0,-0.054,0.105,54600.0,-0.014,-0.07,drawdown_deep,False,한전KPS,2457000000000
055550,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.015,0.267,98200.0,0.03,0.01,,False,신한지주,46326265633600
003720,21.0,watch,A2,A2,A3,acceleration,pullback_ma20,normal,0.0,0.0,0.448,0.88,10700.0,-0.068,-0.084,parabolic,False,삼영,380120000000
003475,21.0,watch,A2,A3,A4,pullback_ma20,pullback_ma50,distribution_suspect,0.0,0.0,0.042,0.192,4470.0,-0.003,-0.023,distribution_suspect,False,유안타증권우,57201099160
278470,21.0,watch,A1,A2,A3,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.165,0.802,391000.0,-0.038,-0.071,low_history,False,에이피알,14713194915000
001800,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.102,0.301,25300.0,0.033,0.025,,False,오리온홀딩스,1594325989900
079550,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.11,0.742,925000.0,0.068,0.023,,False,LIG디펜스앤에어로스페이스,20262000000000
078935,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.069,0.197,57500.0,0.015,0.009,,False,GS우,101913564600
011690,21.0,skip,A1,A4,B2,breaking,breaking,normal,0.0,0.0,0.115,0.499,6320.0,-0.072,-0.171,drawdown_deep,False,와이투솔루션,225732023100
078930,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.121,0.378,76900.0,0.018,-0.002,,False,GS,7182358719400
35320K,21.0,watch,A2,A2,A3,acceleration,pullback_ma10,normal,0.0,0.0,1.106,2.102,40600.0,0.006,0.2,parabolic,False,대덕전자1우,90002541050
092230,21.0,watch,A2,A2,A3,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.047,0.221,86100.0,0.01,-0.015,,False,KPX홀딩스,363742020600
025000,21.0,watch,A2,A2,A3,pullback_ma20,pullback_ma50,normal,0.0,0.0,0.034,0.14,51700.0,-0.002,-0.017,,False,KPX케미칼,228130738900
009155,21.0,watch,A2,A2,A3,acceleration,pullback_ma10,normal,0.0,0.0,1.392,2.709,454000.0,0.138,0.214,parabolic,False,삼성전기우,1526166600000
175330,20.8,skip,A2,A4,B2,breaking,pullback_ma10,normal,0.0,0.6,-0.177,0.01,25150.0,-0.008,-0.047,drawdown_deep,False,JB금융지주,4828704429600
028100,20.4,skip,B3,B4,B2,pullback_ma50,riding,normal,0.0,0.3,-0.123,-0.012,16180.0,0.007,-0.051,,False,동아지질,212893081800
021820,20.0,watch,A1,A3,B2,pullback_ma20,breaking,normal,0.0,0.0,-0.097,0.154,13100.0,-0.061,-0.104,,False,세원정공,128800000000
178920,20.0,watch,B4,A2,A3,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.217,0.843,27500.0,-0.011,-0.011,drawdown_deep,False,PI첨단소재,819320383800
316140,20.0,watch,A2,A3,B2,pullback_ma10,breaking,normal,0.0,0.0,-0.055,0.158,31550.0,0.013,-0.024,,False,우리금융지주,23049996448000
010140,20.0,watch,A2,A3,B1,pullback_ma10,breaking,normal,0.0,0.0,0.042,0.119,29500.0,-0.017,-0.064,,False,삼성중공업,26708000000000
