symbol,pass_gate,bar_dt,close,ma20w,slope_4w,n_weeks,reason
MEMEUSDT,False,2026-05-18,0.0005033,0.00065905,-0.13325091731656957,134,below MA20 + slope<0
MERLUSDT,False,2026-05-18,0.02605,0.06108600000000001,-0.5202619922721703,80,below MA20 + slope<0
METISUSDT,False,2026-05-18,3.255,3.5916000000000006,-0.09652101728171436,114,below MA20 + slope<0
METUSDT,False,2026-05-18,0.132,0.18030000000000002,-0.09960298634173137,32,below MA20 + slope<0
MEUSDT,False,2026-05-18,0.0982,0.13129,-0.15658625895352207,76,below MA20 + slope<0
MEWUSDT,False,2026-05-18,0.0005341,0.0006491250000000001,-0.09848758402310975,101,below MA20 + slope<0
MINAUSDT,False,2026-05-18,0.05578,0.063219,-0.0636164351097549,170,below MA20 + slope<0
MIRAUSDT,False,2026-05-18,0.0793,0.09132499999999999,-0.10902439024390254,35,below MA20 + slope<0
MLNUSDT,False,2026-05-04,3.229,3.6905,-0.10662196347087238,58,below MA20 + slope<0
MMTUSDT,False,2026-05-18,0.1252,0.141175,-0.10504294906336176,29,below MA20 + slope<0
MOCAUSDT,False,2026-05-18,0.01274,0.015561499999999997,-0.08485989002910999,98,below MA20 + slope<0
MONUSDT,True,2026-05-18,0.02526,0.024556500000000002,0.05444747407518746,33,pass
MOODENGUSDT,False,2026-05-18,0.05042,0.054574,-0.07037671087036146,86,below MA20 + slope<0
MORPHOUSDT,True,2026-05-18,2.2463,1.6365650000000003,0.11702153073308263,79,pass
MOVEUSDT,False,2026-05-18,0.01606,0.022272999999999998,-0.14970699956097655,76,below MA20 + slope<0
MOVRUSDT,False,2026-05-18,1.994,1.746,-0.03204346379864731,107,slope<0
MPUSDT,False,,,,,4,insufficient (<24w)
MTLUSDT,False,2026-05-18,0.3059,0.300675,-0.03611271398345828,83,slope<0
MUBARAKUSDT,False,2026-05-18,0.01269,0.014887999999999998,-0.030823812778700055,62,below MA20 + slope<0
MUSDT,True,2026-05-18,2.8725,2.216657,0.15796374756663312,47,pass
MYXUSDT,False,2026-05-18,0.2026,1.750105,-0.2973173184828586,37,below MA20 + slope<0
NAORISUSDT,False,2026-05-18,0.03929,0.050360499999999996,0.17174666697689545,43,below MA20
NATGASUSDT,False,,,,,8,insufficient (<24w)
NBISUSDT,False,,,,,5,insufficient (<24w)
NDX100USDT,False,,,,,1,insufficient (<24w)
NEARUSDT,True,2026-05-18,2.3932,1.3618450000000002,0.012249463900131374,231,pass
NEIROCTOUSDT,False,2026-05-18,9.36e-05,8.235e-05,-0.0630866374651573,85,slope<0
NEOUSDT,False,2026-05-18,2.817,2.9156500000000003,-0.05449622207088878,222,below MA20 + slope<0
NEWTUSDT,False,2026-05-18,0.07393,0.07595149999999999,-0.05895799776979327,48,below MA20 + slope<0
NIGHTUSDT,False,2026-05-18,0.0333,0.046593499999999996,-0.19649755121749335,24,below MA20 + slope<0
NILUSDT,False,2026-05-18,0.07537,0.050472,-0.05051075117105941,61,slope<0
NMRUSDT,False,2026-05-18,8.313,8.41835,-0.02148619118467532,62,below MA20 + slope<0
NOKSTOCKUSDT,False,,,,,1,insufficient (<24w)
NOMUSDT,False,2026-05-18,0.002201,0.00463145,-0.18976059060731454,34,below MA20 + slope<0
NOTUSDT,False,2026-05-18,0.000449,0.00042711500000000005,-0.03528069838616754,106,slope<0
NXPCUSDT,False,2026-05-18,0.356,0.308305,-0.041116553922712074,54,slope<0
OGNUSDT,False,2026-05-18,0.02138,0.023210500000000002,-0.06807596563077167,146,below MA20 + slope<0
OGUSDT,False,2026-05-18,2.9423,3.15837,-0.3119604216635188,85,below MA20 + slope<0
OKLOUSDT,False,,,,,4,insufficient (<24w)
ONDOUSDT,False,2026-05-18,0.4398,0.2964,-0.026505074391565686,113,slope<0
ONDSUSDT,False,,,,,1,insufficient (<24w)
ONEUSDT,False,2026-05-18,0.001908,0.0025202,-0.11285553365249235,192,below MA20 + slope<0
ONGUSDT,False,2026-05-18,0.0651,0.071422,-0.03920684993240198,110,below MA20 + slope<0
ONTUSDT,False,2026-05-18,0.05669,0.05794450000000001,0.0065138658491044055,163,below MA20
OPENAIUSDT,False,,,,,0,insufficient (<24w)
OPENUSDT,True,2026-05-18,0.179,0.17272500000000002,0.022343888724474903,37,pass
OPGUSDT,False,,,,,5,insufficient (<24w)
OPNUSDT,False,,,,,14,insufficient (<24w)
OPUSDT,False,2026-05-18,0.1255,0.161865,-0.1619942533198726,206,below MA20 + slope<0
ORCAUSDT,True,2026-05-18,1.431,1.0816,0.10774272839000387,77,pass
ORDERUSDT,False,2026-05-18,0.05091,0.059892,-0.12617449664429536,91,below MA20 + slope<0
ORDIUSDT,True,2026-05-18,3.938,3.4036,0.0233774824480959,158,pass
OUSTUSDT,False,,,,,1,insufficient (<24w)
PARTIUSDT,False,2026-05-18,0.04765,0.075566,-0.12173407717340767,61,below MA20 + slope<0
PAXGUSDT,False,2026-05-18,4560.2,4788.5955,0.00811337717772398,100,below MA20
PENDLEUSDT,False,2026-05-18,1.8171,1.45092,-0.02861752802669948,148,slope<0
PENGUUSDT,False,2026-05-18,0.008943,0.007978099999999998,-0.021536235083459254,75,slope<0
PEOPLEUSDT,False,2026-05-18,0.006563,0.00736175,-0.062233290447498923,223,below MA20 + slope<0
PEPEUSDT,False,2026-05-18,3.5776e-06,3.9549e-06,-0.04738161821558384,160,below MA20 + slope<0
PHAUSDT,False,2026-05-18,0.03667,0.033235,-0.01950082605617165,73,slope<0
PIEVERSEUSDT,True,2026-05-18,0.70957,0.5919055,0.09680171958529815,27,pass
PIPPINUSDT,False,2026-05-18,0.02222,0.22076499999999996,-0.26073947818283205,71,below MA20 + slope<0
PIUSDT,False,2026-05-18,0.1488,0.175235,-0.04641797948466797,66,below MA20 + slope<0
PIXELUSDT,False,2026-05-18,0.006773,0.007244750000000001,-0.028580431488756664,118,below MA20 + slope<0
PLUMEUSDT,False,2026-05-18,0.01503,0.0122515,-0.06305445090241657,70,slope<0
PNUTUSDT,False,2026-05-18,0.05287,0.053351499999999996,-0.0710977626882564,80,below MA20 + slope<0
POETUSDT,False,,,,,1,insufficient (<24w)
POLUSDT,False,2026-05-18,0.09039,0.10228300000000001,-0.03406365095854191,90,below MA20 + slope<0
POLYXUSDT,False,2026-05-18,0.05567,0.048668,-0.002725353988647705,135,slope<0
POPCATUSDT,False,2026-05-18,0.05436,0.058782499999999994,-0.09667529793233798,96,below MA20 + slope<0
POWERUSDT,False,2026-05-18,0.07643,0.22178399999999998,-0.15689434949212344,25,below MA20 + slope<0
POWRUSDT,False,2026-05-18,0.06327,0.06814849999999999,-0.05123314561768666,85,below MA20 + slope<0
PRLUSDT,False,,,,,8,insufficient (<24w)
PROMUSDT,False,2026-05-18,1.1051,1.85745,-0.41420977688912586,71,below MA20 + slope<0
PROSUSDT,False,,,,,4,insufficient (<24w)
PROVEUSDT,False,2026-05-18,0.2631,0.283505,-0.09528824214574061,42,below MA20 + slope<0
PUMPUSDT,False,2026-05-18,0.001736,0.0019983,-0.03410107064311085,45,below MA20 + slope<0
PUNDIXUSDT,False,2026-05-18,0.1399,0.16338,-0.09477241876056186,56,below MA20 + slope<0
PYTHUSDT,False,2026-05-18,0.04122,0.0488155,-0.054192298377331194,131,below MA20 + slope<0
QBTSUSDT,False,,,,,0,insufficient (<24w)
QNTUSDT,False,2026-05-18,79.99,70.822,-0.004561011434153328,153,slope<0
QTUMUSDT,False,2026-05-18,0.896,0.9795,-0.07711876383850758,199,below MA20 + slope<0
QUBTUSDT,False,,,,,0,insufficient (<24w)
QUSDT,True,2026-05-18,0.016986,0.015628,0.036466675288414185,38,pass
RAREUSDT,False,2026-05-18,0.01546,0.017991,-0.05275627862896859,93,below MA20 + slope<0
RAVEUSDT,False,,,,,23,insufficient (<24w)
RAYUSDT,False,2026-05-18,0.7543,0.7216699999999999,-0.055424304496639376,84,slope<0
RDDTUSDT,False,2026-05-18,143.66,159.772,-0.08550692286118233,30,below MA20 + slope<0
RDWUSDT,False,,,,,1,insufficient (<24w)
RECALLUSDT,False,2026-05-18,0.06011,0.05601149999999999,-0.13155752637740048,32,slope<0
REDUSDT,False,2026-05-18,0.1311,0.157935,-0.10282046183997506,64,below MA20 + slope<0
RENDERUSDT,True,2026-05-18,2.018,1.7517999999999998,0.04760196148786,96,pass
RESOLVUSDT,False,2026-05-18,0.0266,0.0547015,-0.1535092809668609,50,below MA20 + slope<0
REZUSDT,True,2026-05-18,0.004422,0.0040265,0.025533269659343993,108,pass
RGTIUSDT,False,,,,,0,insufficient (<24w)
RIVERUSDT,False,2026-05-18,6.415,15.7863,-0.002492772854366998,32,below MA20 + slope<0
ROBOUSDT,False,,,,,13,insufficient (<24w)
ROSEUSDT,False,2026-05-18,0.00953,0.0119375,-0.019708478751796377,211,below MA20 + slope<0
