asset,symbol,entry_dt,entry_close,+1w_%,+2w_%,+3w_%,+4w_%,+5w_%,+6w_%,+7w_%,+8w_%
crypto,BANDUSDT,2025-08-18,1.0279,-23.8,-27.7,-27.7,-29.3,-37.3,-35.2,-46.6,-47.1
crypto,BATUSDT,2025-07-21,0.1673,-13.0,-6.2,-4.4,-7.4,-9.9,-7.7,-5.4,-7.7
crypto,BATUSDT,2025-10-06,0.176,11.1,-2.1,14.5,20.1,-1.0,8.7,55.9,43.5
crypto,BCHUSDT,2023-06-19,193.94,54.1,36.8,28.7,28.6,30.3,14.9,17.7,-2.7
crypto,BNBUSDT,2023-11-06,247.65,-0.5,-6.4,-7.9,-3.2,-3.5,6.6,25.6,21.9
crypto,C98USDT,2024-11-18,0.181,18.8,52.9,18.3,-14.5,-5.8,2.6,-16.2,-25.7
crypto,CELOUSDT,2025-08-18,0.3391,-9.3,-15.1,-6.2,-12.8,-25.0,19.3,-13.2,-26.4
crypto,CELOUSDT,2025-09-29,0.4044,-27.2,-38.3,-33.6,-34.0,-39.5,-52.0,-61.1,-58.5
crypto,CFXUSDT,2025-07-14,0.22032,-15.0,-1.7,-5.5,-20.2,-17.1,-13.7,-22.0,-20.7
crypto,CHRUSDT,2025-08-11,0.1037,-1.3,-7.5,-5.5,-4.7,-8.9,-19.1,-16.0,-31.2
crypto,CHZUSDT,2024-11-18,0.09798,8.7,34.1,15.1,-14.1,-14.4,-5.5,-17.2,-22.4
crypto,CHZUSDT,2025-08-18,0.0407,-2.0,-1.8,3.6,2.9,-1.9,7.1,-14.1,-19.0
crypto,CHZUSDT,2025-12-29,0.04457,9.0,33.7,11.4,3.1,-7.7,-10.3,-21.9,-25.7
crypto,CHZUSDT,2026-04-20,0.04964,-18.9,-8.2,-9.9,,,,,
crypto,CKBUSDT,2025-08-18,0.005036,-4.7,-2.8,7.9,-1.9,-14.9,-16.2,-30.4,-33.7
crypto,COMPUSDT,2025-07-21,51.32,-12.6,5.6,-6.2,-9.5,-17.3,-16.8,-12.4,-13.5
crypto,COTIUSDT,2025-11-03,0.05699,-40.5,-51.8,-51.0,-54.8,-59.5,-63.5,-61.6,-60.5
crypto,CRVUSDT,2023-12-11,0.6581,-6.1,-8.0,-21.4,-19.1,-18.6,-28.8,-31.2,-25.4
crypto,CRVUSDT,2024-02-26,0.6678,22.7,3.4,2.0,4.0,-4.7,-32.3,-32.1,-34.2
crypto,CRVUSDT,2024-11-11,0.3204,58.3,109.6,276.1,252.6,155.7,195.9,220.6,155.5
crypto,CYBERUSDT,2025-07-21,1.7671,-9.3,12.5,56.1,22.9,6.4,1.2,3.1,6.0
crypto,DOGEUSDT,2023-07-24,0.077975,-4.8,-4.2,-18.2,-19.1,-19.1,-21.4,-21.3,-22.3
crypto,DOGEUSDT,2023-08-07,0.074733,-14.7,-15.6,-15.6,-18.0,-17.8,-18.9,-15.5,-18.5
crypto,DOGEUSDT,2023-10-23,0.069346,2.5,12.4,16.0,13.4,23.6,47.0,34.2,32.3
crypto,DOTUSDT,2023-10-30,4.766,19.8,14.0,11.7,16.4,54.2,42.5,80.8,72.1
crypto,DOTUSDT,2023-12-04,7.347,-7.5,17.3,11.7,-6.2,-0.3,-7.3,-6.6,-9.3
crypto,DOTUSDT,2025-08-11,4.05,1.4,-7.7,-1.5,6.5,5.3,-1.4,2.0,-20.1
crypto,DYDXUSDT,2024-11-18,1.55,10.2,71.0,41.0,-7.7,-3.5,2.9,-16.2,-25.0
crypto,DYDXUSDT,2025-08-11,0.6633,1.9,-9.6,-9.5,-3.4,3.8,-7.9,-9.2,-43.6
crypto,DYDXUSDT,2026-05-04,0.1705,-2.5,,,,,,,
crypto,EGLDUSDT,2023-11-13,46.35,-2.5,6.8,39.2,31.8,56.9,46.6,11.4,12.9
crypto,EGLDUSDT,2024-11-04,30.43,-4.3,28.4,44.7,83.2,54.9,10.4,12.3,23.4
crypto,EGLDUSDT,2024-11-18,39.07,12.7,42.7,20.7,-14.0,-12.5,-3.9,-15.9,-17.9
crypto,EGLDUSDT,2025-08-18,15.69,-9.6,-12.5,-5.9,-8.2,-14.9,-13.4,-32.4,-37.4
crypto,ENJUSDT,2024-11-18,0.3028,8.0,20.8,0.7,-29.1,-27.7,-19.0,-34.1,-43.0
crypto,ENJUSDT,2026-04-06,0.03793,54.3,58.3,41.0,28.3,26.6,,,
crypto,ETCUSDT,2023-10-30,17.983,11.5,9.0,6.2,10.4,22.2,11.0,15.8,22.0
crypto,ETCUSDT,2023-11-27,19.848,10.7,0.6,5.0,10.5,-3.1,33.5,23.5,18.3
crypto,ETCUSDT,2025-07-14,24.712,-5.7,-19.7,-6.2,-10.0,-6.0,-16.3,-17.1,-14.5
crypto,FETUSDT,2026-05-04,0.2402,-0.6,,,,,,,
crypto,FILUSDT,2023-10-23,3.791,8.4,35.7,28.8,21.2,20.7,35.8,39.5,48.7
crypto,FILUSDT,2025-11-03,2.779,-29.5,-42.1,-43.6,-47.7,-52.8,-54.0,-52.0,-46.3
