621 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 432/621] PROVEUSDT            rows=  7534  ( 0.1s)
[ 433/621] PUMPUSDT             rows=  8064  ( 0.1s)
[ 435/621] PYTHUSDT             rows= 22442  ( 0.1s)
[ 434/621] PUNDIXUSDT           rows=  9868  ( 0.1s)
[ 436/621] QBTSUSDT             rows=   477  ( 0.1s)
[ 437/621] QCOMUSDT             rows=   647  ( 0.1s)
[ 438/621] QNTSTOCKUSDT         rows=   407  ( 0.1s)
[ 439/621] QNTUSDT              rows= 26155  ( 0.1s)
[ 440/621] QQQUSDT              rows=  5516  ( 0.1s)
[ 441/621] QTUMUSDT             rows= 33834  ( 0.1s)
[ 442/621] QUBTUSDT             rows=   477  ( 0.1s)
[ 443/621] QUSDT                rows=  6863  ( 0.1s)
[ 444/621] RAREUSDT             rows= 16103  ( 0.1s)
