eval_date,bucket,Symbol,Name,tf,angle_deg,residence_20,next_ret_pct
2026-05-19,B,011500,한농화성,1M,1.1668311147509969,0.35,-3.105263157894737
2026-05-19,A,035510,신세계 I&C,1M,1.847496610727659,0.9,-7.002314814814816
2026-05-19,B,004020,현대제철,1W,0.9436389779850362,0.8,-5.699481865284974
2026-05-19,B,077500,유니퀘스트,1W,0.446404831911122,0.5,-1.1594202898550725
2026-05-19,A,001560,제일연마,1M,0.661075811585429,0.85,-2.684563758389262
2026-05-19,A,057050,현대홈쇼핑,1W,1.2693641730076992,0.85,-3.237410071942446
2026-05-19,A,009450,경동나비엔,1Q,0.6964993987771319,0.7,1.1851851851851851
2026-05-19,A,298020,효성티앤씨,1W,2.087706850725141,1.0,-4.83271375464684
2026-05-19,B,007810,코리아써키트,1W,2.6074901178680454,1.0,10.767326732673268
2026-05-19,A,002240,고려제강,1M,0.5356286215127012,0.35,-0.9433962264150944
2026-05-19,B,009970,영원무역홀딩스,1M,3.3876504689325606,0.95,-1.2133468149646107
2026-05-19,A,034020,두산에너빌리티,1W,1.318120934327974,1.0,-4.433962264150943
2026-05-19,B,018500,동원금속,1W,0.7405327727283066,1.0,-3.396901072705602
2026-05-19,B,002025,코오롱우,1W,0.472790589387644,0.9,-2.306425041186161
2026-05-19,A,001780,알루코,1W,0.8457426614983412,0.85,-4.911591355599214
2026-05-19,A,049800,우진플라임,1M,0.011977655117207196,0.2,1.1261261261261262
2026-05-19,B,009900,명신산업,1W,0.8542794977927157,0.95,-4.510556621880999
2026-05-19,B,012030,DB,1W,0.9061774022965543,0.85,-5.083039758429794
2026-05-19,A,024070,WISCOM,1W,0.5193961096427155,0.7,-1.5880893300248138
2026-05-19,B,060980,HL홀딩스,1M,0.8051973593720694,0.9,-3.3821871476888385
2026-05-19,B,020000,한섬,1W,1.4937720240756964,0.9,-7.330827067669173
2026-05-19,B,900140,엘브이엠씨홀딩스,1W,0.18581146974360954,0.55,-4.61441213653603
2026-05-19,A,078935,GS우,1W,0.5007855476380343,1.0,-1.0638297872340423
2026-05-19,A,082640,동양생명,1M,0.56285599367856,0.75,0.0
2026-05-19,A,068270,셀트리온,1M,0.5046317369531248,0.75,-1.6981696100073582
2026-05-19,B,042700,한미반도체,1W,2.837499602033721,1.0,-0.1736111111111111
2026-05-19,A,010100,한국무브넥스,1M,0.4337509776401732,0.35,-3.9637599093997737
2026-05-19,A,013520,화승코퍼레이션,1W,1.0465746428165918,0.95,-3.482587064676617
2026-05-19,A,001940,KISCO홀딩스,1M,0.7412944328433405,0.75,-4.583333333333333
2026-05-19,B,009835,한화솔루션우,1M,0.4104831016264489,0.65,-3.97489539748954
2026-05-19,B,456040,OCI,1W,2.716571889984489,0.95,-6.644238856181666
2026-05-19,B,009420,한올바이오파마,1M,1.3185706852692423,0.65,-4.854368932038835
2026-05-19,B,377300,카카오페이,1M,2.2136429226525527,0.65,-4.021164021164021
2026-05-19,A,031820,아이티센씨티에스,1W,0.7858041260647681,0.95,-3.718459495351926
2026-05-19,B,016740,두올,1W,0.7423620833883315,1.0,-3.430877901109989
2026-05-19,A,030210,다올투자증권,1M,0.8776912719274187,0.75,-2.4390243902439024
2026-05-19,A,338100,NH프라임리츠,1Q,0.05433637071706238,0.25,-1.226309921962096
2026-05-19,B,064960,SNT모티브,1M,0.8585112710609312,0.8,-2.2988505747126435
2026-05-19,A,011700,한신기계,1M,0.15014109903560632,0.3,-4.557640750670242
2026-05-19,B,000210,DL,1W,1.508772960052651,0.9,-3.8181818181818175
2026-05-19,A,005690,파미셀,1M,2.981219380258747,0.9,-3.446075303126994
2026-05-19,A,051910,LG화학,1W,0.32849789142251046,0.45,-5.278174037089872
2026-05-19,B,084010,대한제강,1Q,0.689062572994844,0.8,-1.6472868217054266
2026-05-19,A,300720,한일시멘트,1Q,1.1556467450586192,0.45,-4.092071611253197
2026-05-19,B,012280,영화금속,1M,0.5384545150770618,0.55,-3.282051282051282
2026-05-19,A,006980,우성,1W,0.9034961494718748,0.85,3.3175355450236967
2026-05-19,A,016880,웅진,1M,2.1110178112863305,0.7,-1.5350877192982455
2026-05-19,B,383800,LX홀딩스,1W,0.38942252503312363,0.65,-4.801670146137787
2026-05-19,B,000155,두산우,1W,0.7502422416659319,0.7,-4.545454545454546
2026-05-19,A,090435,아모레퍼시픽우,1M,0.1385000884774473,0.7,-5.09478672985782
2026-05-19,B,092200,디아이씨,1M,2.2352856262588245,0.45,-5.061349693251533
2026-05-19,B,000540,흥국화재,1M,0.2833242949004643,0.5,-5.975609756097561
2026-05-19,A,005720,넥센,1W,0.3884250154137272,0.85,-3.1976744186046515
2026-05-19,A,001360,삼성제약,1M,0.36096519833016566,0.3,-3.0079803560466543
2026-05-19,B,003280,흥아해운,1W,1.5997796792781722,0.85,-3.90625
2026-05-19,B,000215,DL우,1M,0.004937056881263133,0.5,-3.0303030303030303
2026-05-19,B,031440,신세계푸드,1M,0.8775575112236831,0.55,-2.5191675794085437
2026-05-19,A,004310,현대약품,1M,3.8773792984897772,0.45,-2.2911051212938007
2026-05-19,A,047040,대우건설,1W,7.999004117080638,1.0,-1.478743068391867
2026-05-19,A,000430,대원강업,1W,0.32948620100819653,0.75,-3.725261932479627
2026-05-19,B,001550,조비,1M,0.4413609033259231,0.4,-2.199528672427337
2026-05-19,A,014280,금강공업,1M,0.3074791525055007,0.4,-3.229061553985873
2026-05-19,A,003010,혜인,1W,0.698809361970581,0.75,-2.891156462585034
2026-05-19,B,034830,한국토지신탁,1M,1.203577985439408,0.65,-1.402524544179523
2026-05-19,A,001800,오리온홀딩스,1W,0.6333077614091288,0.95,-2.0
2026-05-19,B,073240,금호타이어,1Q,0.44920930935266706,0.65,-2.169421487603306
2026-05-19,A,017960,한국카본,1M,4.221246464942943,0.9,-2.344827586206897
2026-05-19,B,248070,솔루엠,1W,0.6753111401098127,0.7,0.0
2026-05-19,B,029530,신도리코,1Q,1.7468600369543954,0.55,-4.6275395033860045
2026-05-19,B,014710,사조씨푸드,1M,0.6122756365336746,0.85,-5.227882037533512
2026-05-19,B,071055,한국금융지주우,1W,0.8969341103724029,1.0,-2.3679417122040074
2026-05-19,B,015590,DKME,1M,0.16640462082287774,0.55,-3.435114503816794
2026-05-19,B,016610,DB증권,1M,3.6505869503619603,1.0,-4.587155963302752
2026-05-19,A,028050,삼성E&A,1W,2.5522832676223097,0.9,-3.756345177664975
2026-05-19,B,002990,금호건설,1M,0.9169676961146086,0.5,-2.2432113341204247
2026-05-19,B,078520,에이블씨엔씨,1W,1.0960633558698951,0.85,-3.136396790663749
2026-05-19,B,001460,BYC,1M,1.0361932900555066,0.65,-3.854875283446712
2026-05-19,B,003540,대신증권,1M,2.7800757944589014,1.0,-4.037267080745342
2026-05-19,B,018470,조일알미늄,1W,0.6626696745873117,0.5,-2.402826855123675
2026-05-19,A,136490,선진,1M,1.340593600214492,0.65,-3.878116343490305
