symbol,tf,ma_len,window,last_date,close,ma,px_vs_ma_pct,ma_slope_last3_pct,verdict,a_pct,b_pct,vertex_pos,r2
PRLUSDT,1d,20,15,2026-06-15,0.1847,0.187485,-1.4854521695068956,1.1600615102382195,pass,0.07105290639079784,-1.3726291345767878,0.6899431927865107,0.9923652392214598
PROMUSDT,1w,10,10,2026-06-15,1.1566,1.60307,-27.8509360165183,0.23196778711485067,low_a(-0.562),-0.5623848781642178,7.571371528542113,0.7479428553604307,0.9756410364490389
PROSUSDT,1d,20,15,2026-06-15,0.5852,0.60998,-4.062428276336916,-0.4788592219149512,low_a(0.023),0.023255423225423868,-0.7690672694227987,1.1810874361402104,0.9716795628157512
PROVEUSDT,1w,10,10,2026-06-15,0.2041,0.23128,-11.751988931165691,-1.0524514417728947,low_a(0.069),0.068980339740332,-1.7035743644772394,1.372028908599284,0.9704398118177447
PUMPUSDT,1w,10,10,2026-06-15,0.001557,0.0017422,-10.630237630582018,-1.9362827873466326,low_a(0.004),0.003810362029024187,-0.643344893255966,9.380049109878925,0.8630477445098953
PUNDIXUSDT,1w,10,10,2026-06-15,0.1041,0.13328,-21.89375750300121,-5.622433083132705,low_a(-0.169),-0.16899175743427003,0.4512535235347446,0.14834830157988999,0.9551820647791661
PYTHUSDT,1w,10,10,2026-06-15,0.0388,0.043691,-11.194525188253868,-1.129214754469321,low_r2(0.53),-0.05007029216372284,0.17876419992465634,0.19834804254356211,0.5327831851308553
QNTUSDT,1w,10,10,2026-06-15,70.59,72.14200000000001,-2.151312688863638,-1.4359296654051668,low_a(-0.134),-0.133944091622493,1.9317511540043601,0.801226147833876,0.8857556628755565
QQQUSDT,1w,10,10,2026-06-15,743.8,704.865,5.523752775354129,4.243755268645466,low_a(0.093),0.09345980209004094,1.0709884953987983,-0.636630503434685,0.9982053838568048
QTUMUSDT,1w,10,10,2026-06-15,0.749,0.8554999999999999,-12.448860315604904,-3.995062282572115,low_r2(0.76),-0.14774642346172015,1.0114999947111507,0.3803438542468609,0.7595808399539995
QUSDT,1w,10,10,2026-06-15,0.017393,0.0160612,8.292032973874907,12.071564139778967,pass,1.011167172049993,-6.638909224940857,0.3647550083402597,0.8880343461414464
RAREUSDT,1w,10,10,2026-06-15,0.01343,0.015668,-14.283890732703608,-1.4219202214671989,low_r2(0.01),-0.00491704914113018,0.02855726198746371,0.3226558265582913,0.005956053880043943
RAVEUSDT,1w,10,10,2026-06-15,0.29578,0.5422030000000001,-45.44847593982328,-51.24911098902976,low_r2(0.49),-1.4876613168957886,12.231912618684566,0.4567912691687165,0.486720501802286
RAYUSDT,1w,10,10,2026-06-15,0.6351,0.70769,-10.257316056465404,0.2919377010614621,low_a(-0.226),-0.22602704852090855,3.895092547527226,0.9573811268794308,0.9878339851651412
RDDTUSDT,1w,10,10,2026-06-15,181.74,163.525,11.138969576517344,4.763948772815518,low_a(0.151),0.15088607674090923,0.36828688798243303,-0.13560152870051642,0.9942110131992254
RECALLUSDT,1w,10,10,2026-06-15,0.03774,0.048257,-21.793729407132645,-2.8467314932254184,low_r2(0.73),-0.08987053089753794,1.541077648643582,0.9526529338327179,0.7265602806684559
REDUSDT,1w,10,10,2026-06-15,0.096,0.12213,-21.395234586096777,-3.9027460854512364,low_r2(0.56),0.04227271420175479,-0.9608531495221789,1.2627703599593811,0.5628558543754831
RENDERUSDT,1w,10,10,2026-06-15,1.7932,1.85567,-3.3664390759132856,-0.9902733389178575,low_a(-0.240),-0.2400920254070799,3.777489041653307,0.8740836017283403,0.9824302327469634
RESOLVUSDT,1w,10,10,2026-06-15,0.01776,0.025426999999999998,-30.152986982341588,-13.342648762865528,vertex_out(1.78),0.393221081725565,-12.602966998789434,1.7805882385388871,0.9864646124537247
REZUSDT,1w,10,10,2026-06-15,0.003342,0.0043214,-22.663951497199985,-0.9398496240601406,low_a(-0.581),-0.580565890105799,8.128958284814166,0.7778768978633733,0.9617076307188174
RIVERUSDT,1w,10,10,2026-06-15,4.809,6.014,-20.036581310276024,-14.525298465036961,low_a(-0.333),-0.3325707510947378,-7.017880445115328,-1.1723287320591451,0.9622700395850643
RKLBUSDT,1d,20,15,2026-06-15,108.69,119.80250000000001,-9.275682894764303,-2.7778341333571377,low_a(-0.037),-0.03650203360495682,-0.29439135622909623,-0.28803811650522,0.9955658519384353
ROBOUSDT,1d,20,15,2026-06-15,0.01934,0.0197325,-1.989104269605979,0.13701758392328234,low_r2(0.78),0.0030047554026243995,-0.16914978090335392,2.0105009540593066,0.7845094487181334
ROSEUSDT,1w,10,10,2026-06-15,0.00691,0.009082,-23.915437128385808,-6.678997122893559,low_a(-0.159),-0.15884403898032617,-0.7687463175392395,-0.26886831275720485,0.9886898194496582
RPLUSDT,1w,10,10,2026-06-15,1.433,1.6926,-15.337350821221795,-3.4289952644491417,low_a(-0.130),-0.13040450455446775,0.31730844084973886,0.1351812713379955,0.9602278169493232
RSRUSDT,1w,10,10,2026-06-15,0.001475,0.0016952999999999998,-12.994750191706473,-0.25300070604850067,low_a(-0.249),-0.24923831141395159,3.0146172098136974,0.6719622393861386,0.9281565184122452
RUNEUSDT,1w,10,10,2026-06-15,0.3918,0.44878999999999997,-12.69858954076517,0.3510576450069136,low_a(-0.289),-0.28909558314412725,3.683307042648001,0.7078218449777685,0.9439637411269087
RVNUSDT,1w,10,10,2026-06-15,0.00448,0.0053325,-15.986872948898267,-4.250161603102787,low_a(-0.217),-0.2174130794416819,1.3873733103744028,0.3545154469028844,0.9091479800635174
SAFEUSDT,1w,10,10,2026-06-15,0.0961,0.1278,-24.80438184663536,-5.0661120190165,low_a(-0.397),-0.3973944526122035,5.439281552311607,0.7604089752018756,0.9483416544955702
SAGAUSDT,1w,10,10,2026-05-25,0.02012,0.021778,-7.613187620534479,-9.698552888004318,low_a(0.067),0.06685811443574431,-5.139001510721392,4.270238344866176,0.9959544335431284
SAHARAUSDT,1w,10,10,2026-06-15,0.01473,0.028152999999999994,-47.678755372429215,-4.840290687848592,low_a(-0.417),-0.4172172321304656,7.171779441502665,0.9549753953355433,0.960135487545507
SANDUSDT,1w,10,10,2026-06-15,0.05406,0.068443,-21.014566865859187,-5.935790659959872,low_a(-0.164),-0.1638896501180749,-0.004257568633034823,-0.00144323690088878,0.9897351654997979
SANTOSUSDT,1w,10,10,2026-06-15,0.6583,0.9569199999999999,-31.20637043849015,-7.185257032007786,low_a(0.042),0.04189474177669872,-3.488638295411712,4.626194849630992,0.9737440756260738
SAPIENUSDT,1w,10,10,2026-06-15,0.08365,0.09520200000000001,-12.13419886136846,3.4275967712147137,low_a(-0.002),-0.002277536972664121,2.6589305828228724,64.85882226517275,0.962576544392875
SCRTUSDT,1w,10,10,2026-06-15,0.06114,0.085591,-28.567255903073917,-6.580440951757261,low_a(-0.472),-0.471729198046139,4.56610836009118,0.5377506580521668,0.9704826647872498
SEIUSDT,1w,10,10,2026-06-15,0.05399,0.059934,-9.917576000266958,0.33985702566505793,low_r2(0.60),0.09512127963153125,-1.006819047821323,0.5880323704885028,0.5968230609585765
SENTUSDT,1w,10,10,2026-06-15,0.015,0.015820999999999998,-5.1893053536438805,-0.7278659722658065,low_a(0.099),0.09923669443987096,-3.4369708647165327,1.9241151359921642,0.9798588836323416
SFPUSDT,1w,10,10,2026-06-15,0.2507,0.28681999999999996,-12.59326406805662,-3.0620521833175873,low_a(-0.325),-0.3254454262119212,3.1870807146004805,0.54405447254536,0.9748562103949949
SHELLUSDT,1w,10,10,2026-06-15,0.0263,0.031932,-17.637479644244024,-1.4748534402961866,low_a(-0.259),-0.25863678482359653,3.232621613256484,0.6943717992313034,0.9170950494743434
SHIBUSDT,1w,10,10,2026-06-15,5.056e-06,5.650600000000001e-06,-10.522776342335327,-2.8355257501504583,low_r2(0.82),-0.17540734931332663,1.2951016187412971,0.41018857084231436,0.8243810368438622
SIGNUSDT,1w,10,10,2026-06-15,0.00886,0.013133999999999998,-32.5414953555657,-27.372262773722632,low_a(-0.492),-0.4915432354008628,-5.8516832575862825,-0.6613731832668374,0.9839599244338781
SIRENUSDT,1w,10,10,2026-06-15,0.05293,0.614677,-91.38897339578348,-16.412781558177368,low_a(-1.491),-1.491213873569238,10.70836029533824,0.3989427109289477,0.8670014062566433
SKLUSDT,1w,10,10,2026-06-15,0.004411,0.0059751,-26.17696774949373,-5.828303046541327,low_a(-0.265),-0.264600417249857,1.6724266966958465,0.35114303759069593,0.9758144737807269
SKRUSDT,1w,10,10,2026-06-15,0.009265,0.0136973,-32.35893205230228,-9.567289917075994,low_a(-0.167),-0.16679234246653626,-2.590852959171269,-0.8629669287029351,0.9934333118091516
SKYAIUSDT,1w,10,10,2026-06-15,0.35688,0.316207,12.862776598873516,20.602235020405036,low_a(-0.644),-0.6443933594116776,19.64399783274465,1.6935823390958444,0.9890849388112259
SKYUSDT,1w,10,10,2026-06-15,0.05727,0.070129,-18.336208986296676,-4.387364173040476,low_a(-0.341),-0.34076507295051583,2.8867382895332923,0.47063024396812225,0.9780527615222768
SLPUSDT,1w,10,10,2026-06-15,0.000518,0.00062806,-17.523803458268304,-2.233775937485405,low_a(-0.282),-0.28176911922124,3.349880659789206,0.6604857253831088,0.916122306664355
