symbol,last_close,today_chg,today_amount,vol_ratio_1d,ch_score,ret_30d,ret_90d,from_high_1y,has_1h,ch_pct,거래대금,today_chg_str,vol_x
ICPUSDT,2.671,0.045401174168297365,4787186.69105,0.7684926185825804,19.0,0.09827302631578938,0.2634815515610218,-0.7013640429338104,True,16.5,$4.8M,4.54%,0.8
IOUSDT,0.1575,0.0990928122819259,653356.4625,0.2418323774949025,19.0,0.2846655791190864,0.4516129032258065,-0.7563428217821782,True,16.5,$653K,9.91%,0.2
TOWNSUSDT,0.00332,0.04996837444655289,495828.7532,1.3341317320839028,18.0,-0.03235208394054212,0.006976038823172548,-0.881808472766109,True,15.7,$496K,5.0%,1.3
TAOUSDT,279.5,0.017066336741748733,21090050.384,0.8272964991631707,17.0,0.12929292929292924,0.6746554823247453,-0.43772757448349386,True,14.8,$21.1M,1.71%,0.8
SOONUSDT,0.1731,0.08799497171590209,4581080.9409,4.304608879635653,16.0,-0.11503067484662577,0.06917850525015456,-0.9358009123613841,True,13.9,$4.6M,8.8%,4.3
RAYUSDT,0.7716,0.022935171682354483,367086.61668,0.4457788682985358,16.0,0.1237984270317507,0.2957178841309822,-0.7733521325343673,True,13.9,$367K,2.29%,0.4
ORCLUSDT,195.04,0.008010749909555859,172752.7792,0.19079267503294114,16.0,0.13047006317741827,0.3376311638433578,-0.4012218708746509,True,13.9,$173K,0.8%,0.2
BNBUSDT,662.86,0.010056989607777345,12413259.9052,0.8015783630745293,15.0,0.05517351162050299,0.13663019993826953,-0.4924890896562284,True,13.0,$12.4M,1.01%,0.8
PENDLEUSDT,1.9192,0.05618843211710978,1726063.2272,0.4441266974358911,14.0,0.49528632645111026,0.6141295206055508,-0.6359428647305423,True,12.2,$1.7M,5.62%,0.4
VELODROMEUSDT,0.016935,0.047245068332199436,41332.74645,0.6505818910395884,14.0,0.05573218627267629,0.0874590637642072,-0.6799463269895867,True,12.2,$41K,4.72%,0.7
GOOGLUSDT,387.37,0.004929047656108132,1395512.0461000002,0.33344810702091016,14.0,0.129589128976759,0.24464222600649022,-0.04009416429190937,True,12.2,$1.4M,0.49%,0.3
AEROUSDT,0.4353,-0.0038901601830663157,815045.7081,0.7954107583005502,14.0,0.027863046044864337,0.3155031731640978,-0.675947293977518,True,12.2,$815K,-0.39%,0.8
RECALLUSDT,0.05811,-0.0332723340542338,127046.59032,0.08810616217233405,14.0,0.1656970912738216,0.12681791739383375,,True,12.2,$127K,-3.33%,0.1
STABLEUSDT,0.03769,0.04607271718012762,1441979.0717,2.4154406252779674,14.0,0.12979616306954433,0.2876665527844209,,True,12.2,$1.4M,4.61%,2.4
