Date,삼성주가,삼성시총_조,삼성TTM순이익_조,삼성PER,하이닉스주가,하이닉스시총_조,하이닉스TTM순이익_조,하이닉스PER
2019-05-20,42000,250.7308671,37.3865,6.7064546587672025,70900,51.6153676785,13.5226,3.8169706771257004
2019-05-21,43150,257.5961170325,37.3865,6.890083774423923,70300,51.1785662595,13.5226,3.784669091705737
2019-05-22,43500,259.685540925,37.3865,6.945970896580317,68900,50.1593629485,13.5226,3.7092987257258216
2019-05-23,43850,261.7749648175,37.3865,7.00185801873671,68000,49.50416082,13.5226,3.6608463475958763
2019-05-24,42700,254.909714885,37.3865,6.818228903079989,67600,49.212959874,13.5226,3.6393119573159005
2019-05-27,42650,254.6112257575,37.3865,6.810245028486219,66900,48.7033582185,13.5226,3.601626774325943
2019-05-28,42550,254.0142475025,37.3865,6.794277279298678,65900,47.9753558535,13.5226,3.5477907986260035
2019-05-29,41800,249.53691059,37.3865,6.67451916039212,66100,48.1209563265,13.5226,3.5585579937659917
2019-05-30,42550,254.0142475025,37.3865,6.794277279298678,65900,47.9753558535,13.5226,3.5477907986260035
2019-05-31,42500,253.715758375,37.3865,6.7862934047049075,65300,47.5385544345,13.5226,3.51548921320604
2019-06-03,43800,261.47647569,37.3865,6.993874144142939,66600,48.484957509,13.5226,3.585475981615961
2019-06-04,43450,259.3870517975,37.3865,6.9379870219865465,65100,47.3929539615,13.5226,3.504722018066052
2019-06-05,43900,262.073453945,37.3865,7.0098418933304805,65100,47.3929539615,13.5226,3.504722018066052
2019-06-07,44200,263.86438871,37.3865,7.057745140893104,65400,47.611354671,13.5226,3.520872810776034
2019-06-10,44800,267.44625824,37.3865,7.15355163601835,66800,48.630557982,13.5226,3.5962431767559493
2019-06-11,44850,267.7447473675,37.3865,7.1615355106121195,67200,48.921758928,13.5226,3.617777567035925
2019-06-12,44600,266.25230173,37.3865,7.121616137643267,65700,47.8297553805,13.5226,3.5370236034860163
2019-06-13,43750,261.1779865625,37.3865,6.985890269549169,63500,46.2281501775,13.5226,3.418584456946149
